IXR	CJB,ISB,CCJ,NNT,IXM,SUL,XIC,PEW,KHI,TRV,CMB,VTE,ZAT,BKK,UET,KBL,YBP,LZO,HAN,NAO
IXS	DEL,ZGC,LZH,BHY,IXC,HYD,KWL,JAI,ENH,IDR,AKA,ZHA,HAK,MAA,IXU,CGD,YIH,ATQ,PNH,INC
IXP	CCU,URC,HYD,BBI,BXR,DAC,CGP,TSE,DXB,IXE,BLR,MAA,SYZ,AUH,THR,CCJ,CJB,BSD,BAX,RAS
IXW	LYP,IXE,CJB,JGA,SXR,IXM,MUX,CCJ,XIC,ISB,VTE,SUL,ZAT,BKK,CMB,TRV,PEW,KHI,YBP,HAN
IXU	DAC,PEW,CGP,KBL,ZAH,BXR,DXB,DYU,AUH,RGN,TAS,BSD,SYZ,CIT,FRU,NNT,DMM,BKK,XIC,VTE
JNS	YQY,YTF,BRR,GLA,PIK,DUB,PWM,XDS,YOW,MHT,BOS,LPL,CEG,MAN,XEG,YGK,RET,EMA,BHX,BRS
PQC	ZUH,LZH,HKG,BSD,TKG,SZX,CAN,KWL,CGK,CGP,ZAT,MNL,BDO,XIC,SWA,ZAM,SRG,YBP,LZO,DAC
JNU	PDX,SLE,GGW,SFO,SJC,YWG,XEF,LAS,DEN,LAX,LYU,SAN,MSP,TIJ,MXL,PHX,MKE,ELP,ORD,CHI
PQI	MKE,BDA,GYY,CGX,CHI,MDW,ORD,IND,CLT,SDF,LYU,AHN,BNA,MSP,ATL,MKL,CSG,BHM,JAX,XEF
JNX	BGY,LIN,ROV,MXP,EVN,WRO,PRG,WAW,TBS,POZ,STR,TBZ,MRS,ZWS,HAS,MHP,MSQ,BER,SXF,MED
JNB	BMD,DAR,LAD,MBA,FIH,WIL,NBO,MGQ,WUU,YAO,ADD,PHC,LOS,ACC,TAI,KAN,ABJ,SAH,NIM,OUA
PQS	PSG,CXH,YVR,RSJ,LKE,XZL,SEA,YEG,PDX,YYC,SLE,GGW,SFO,SJC,YWG,XEF,OKD,CTS,LAS,JMU
JNG	NNG,ZHA,BHY,KIX,ITM,JMU,HAK,NGO,HPH,HAN,BSD,OIM,TYO,HND,IKT,NRT,OKD,CTS,MNL,VTE
JNN	YQY,YTF,BRR,GLA,PIK,DUB,PWM,XDS,YOW,MHT,BOS,LPL,CEG,MAN,XEG,YGK,EMA,BHX,BRS,RET
BEJ	PNH,KUL,PDG,MES,HAK,BKK,ZUH,ZHA,HKG,SZX,BHY,TNN,SWA,HPH,VTE,CAN,HAN,TXG,NNG,XMN
BEH	TPA,MLB,AUS,GGW,SAT,APF,MIA,MPB,ELP,YQY,HAV,BDA,MTY,SLW,CUU,YYC,CUN,YEG,XZL,PHX
BEI	MED,DAR,HAS,RUH,CAI,ALY,AMM,DMM,RAE,ADJ,TLV,LLW,FIH,YAO,DAM,AUH,BLZ,DXB,LUN,AWZ
BEN	ALP,ALG,BUD,LIN,BGY,MXP,VIE,MRS,ODS,LNZ,BCN,DIY,ORN,RAE,VLC,KTW,PRG,STR,MSR,ZWS
BEO	AKL,HLZ,SSR,IHU,MXH,PER,ENE,UPG,SUB,SRG,DVO,BDO,ZAM,CGK,CEB,TKG,PLM,WNP,MNL,BTH
BEL	BSB,JPA,AJU,REC,PLU,BLA,CGR,DCF,DOM,CAW,CPQ,VCP,VVI,CCS,GIG,SOD,GRU,CGH,VLN,CBB
BEB	PRG,POZ,PUF,POR,WRO,MXP,BGY,LIN,LNZ,MRS,OPO,ZAZ,HEL,RIX,KTW,WAW,VIE,MAD,BCN,PUY
BEC	YYZ,JAX,YTZ,YBZ,TAM,MXL,TPA,OAJ,BWI,AGU,YGK,MLB,XEG,TIJ,SAN,PHL,APF,LAX,LAP,YOW
BEF	GYE,STI,HEX,SDQ,VLN,PBC,TPA,ACA,MLB,CVJ,MEX,CCS,TAM,SJU,MLM,JAX,BLA,AGU,CSG,GDL
BEG	STO,BMA,ARN,PUF,BQH,LCY,STN,LGW,LON,VKO,ALG,LHR,LTN,DME,ALP,MOW,SVO,ALY,BKA,TRF
BED	JAX,CSG,BHM,MKL,LYU,MSP,MLB,GTR,MEM,TPA,JAN,MPB,MIA,APF,XEF,YWG,AEX,OKC,HAV,IAH
BEZ	SSR,IHU,MXH,BNE,OOL,HNM,AKL,RMA,HLZ,SYD,MEL,ADL,PTJ,NRT,OIM,HND,TYO,DVO,NGO,KIX
A50	SDF,PDX,SLE,BHM,SEA,LAP,LKE,YEG,XZL,DTW,RSJ,CMH,ATL,YVR,CXH,CSG,AGU,TAM,AHN,YXU
BEY	SYZ,BEG,VOG,KBP,IEV,BWK,VOZ,NAP,BUD,PMO,TIP,ZAG,RTW,AUH,DXB,CIA,PUY,FCO,SAH,VIE
BER	MOW,ZAZ,DME,BKA,RET,IST,TUN,VOZ,DOK,VLC,ATH,MAD,ADB,ALG,ROV,ANK,ESB,OPO,ORN,KYA
BES	RBA,OSL,NAP,CMN,KTW,BWK,TUN,BUD,PMO,MXX,WAW,BMA,STO,ARN,BEG,RIX,VNO,POR,SOF,HEL
BEP	KTM,SUL,DAC,IXC,CGP,MUX,LHE,LYP,ATQ,UET,RGN,ISB,SXR,PEW,ZAH,KBL,BXR,DXB,AUH,BSD
BEQ	POR,VNO,NAP,BEG,LIS,HEL,SVQ,ALG,MHP,RET,MSQ,PMO,ORN,TUN,LED,SOF,OTP,BBU,IEV,KBP
BEV	THR,SOF,BBU,OTP,BAK,MCX,ODS,SYZ,ROV,DOK,BEG,SAH,TIP,BWK,AUH,VOG,PMO,NAP,DXB,KBP
BEW	MBA,PLZ,WIL,NBO,CPT,LAD,MGQ,FIH,WUU,ADD,YAO,TAI,SAH,PHC,LOS,KAN,JED,ACC,MED,ABJ
BET	PSG,CXH,YVR,RSJ,LKE,SEA,XZL,YEG,PDX,SLE,YYC,GGW,SFO,SJC,YWG,XEF,OKD,CTS,LAS,LAX
BEU	IHU,MXH,PER,ENE,UPG,SSR,SUB,AKL,SRG,HLZ,DVO,BDO,ZAM,CGK,CEB,TKG,PLM,WNP,BTH,MNL
GRV	SYZ,ADB,MSQ,PEE,MHP,HAS,SOF,DMM,CIT,ATH,ALY,TAS,CAI,BXR,VNO,DYU,BEG,RUH,ZAH,TJM
GRW	LIS,OPO,CMN,SVQ,RBA,MAD,DUB,ZAZ,PUF,VLC,BRS,AGF,ORN,CEG,LPL,BRR,BHX,MAN,PIK,LHR
GRU	AEP,AJU,EZE,ROS,VVI,THE,REC,CBB,JPA,LUQ,NAT,UAQ,FOR,LPB,MDZ,SCL,MAO,AQP,LIM,TRU
GRR	DEN,IAH,TPA,MLB,HOU,GGW,AUS,SAT,APF,MIA,MPB,YQY,BDA,ELP,HAV,MTY,YYC,YEG,XZL,SLW
GRS	OPO,VNO,IEV,MHP,KBP,DUB,MSQ,LIS,AYT,PIK,RIX,RBA,ANK,TRF,GLA,ESB,KYA,STO,BMA,CMN
GRP	JPA,VVI,NAT,ASU,CBB,POA,LPB,AQP,ROS,MVD,AEP,EZE,UAQ,LUQ,BLA,LIM,MDZ,CCS,VLN,SCL
GRQ	LED,RET,IEV,KBP,SOF,OTP,BBU,PMO,OPO,TUN,ALG,ODS,VKO,SVQ,LIS,SVO,MOW,ORN,DME,BKA
GRZ	POR,DOK,LAQ,PIK,MAD,GLA,AYT,DUB,BEN,KYA,LED,VKO,VOZ,SVO,MOW,DME,BKA,ORN,ROV,ASR
GRX	LHR,NAP,CRL,LON,LCY,TIP,ZYR,LTN,STR,BRU,ZWS,STN,HHN,BHX,PUY,FRA,BNJ,QKL,CGN,EMA
GRY	TRF,LPL,MXX,CEG,MAN,EMA,BHX,BRS,LTN,STN,ARN,LHR,LON,LCY,BMA,STO,BQH,LGW,POR,AMS
GRF	DEN,SAN,TIJ,MXL,PHX,YWG,XEF,ELP,HMO,MSP,LYU,OKC,CUU,TAL,MKE,LAP,ORD,MDW,CHI,CGX
GRB	JAX,IAH,HOU,AUS,SAT,TPA,MLB,YYC,YEG,XZL,APF,ELP,YQY,MIA,MPB,MTY,CUU,PHX,SLW,BDA
GRO	GLA,SOF,WAW,BRR,ATH,BEN,BBU,OTP,LAQ,TRF,ADB,OSL,IST,VNO,BMA,STO,ARN,RIX,MHP,MXX
GRM	BHM,PWM,BOS,AHN,ATL,JAN,YEG,YYC,XZL,CSG,OAJ,AEX,IAH,AUS,JAX,HOU,SAT,ELP,YQY,TPA
GRJ	BUQ,HRE,BEW,LUN,BLZ,LLW,BMD,LAD,FIH,DAR,MBA,WIL,NBO,YAO,PHC,MGQ,WUU,LOS,ACC,ADD
GRK	CLT,MXL,APF,CMH,MLB,LAS,HAV,DTW,MIA,TIJ,MPB,SAN,OAJ,LYU,LAX,GUA,YXU,GGW,YHM,XEF
GRI	CLT,YYC,MTY,SLW,HMO,MXL,YEG,XZL,YGK,XEG,BWI,YOW,JAX,XDS,TIJ,SAN,LAX,OAJ,PHL,PDX
TJA	CWB,POA,LIM,MVD,SOD,VCP,CPQ,CGH,BSB,GRU,MAO,TRU,PLU,GIG,CAW,GYE,UIO,THE,CLO,BOG
NON	SSR,IHU,MXH,BNE,OOL,RMA,HNM,AKL,HLZ,SYD,MEL,ADL,OIM,NRT,PTJ,HND,TYO,DVO,NGO,KIX
HLZ	SYD,OOL,BNE,SSR,MEL,RMA,PTJ,ADL,IHU,MXH,PER,ENE,UPG,SUB,DVO,HNM,SRG,ZAM,CEB,BDO
NOJ	KZN,REN,AKX,KUF,IKT,RTW,BKA,FRU,SVO,MOW,DME,VKO,URC,CIT,LED,VOZ,VOG,TAS,ULN,HEL
NOE	IEV,KBP,MAD,VLC,OTP,BBU,SOF,PMO,OPO,ODS,TUN,ALG,VKO,SVO,MOW,DME,BKA,SVQ,LIS,ORN
NOG	MLM,TAM,AEX,MEX,CVJ,PBC,SLE,PDX,GGW,ACA,JAN,MEM,VER,SEA,LKE,MKL,GTR,MSP,RSJ,YYC
TJM	CIT,BKA,VOG,DME,MOW,FRU,SVO,VKO,VOZ,TAS,MCX,LED,ROV,DYU,DOK,URC,BAK,TBS,HEL,MSQ
HLR	ACA,CLT,APF,CMH,MXL,MLB,LAS,HAV,DTW,MIA,MPB,TIJ,SAN,OAJ,LYU,LAX,YXU,GUA,GGW,YHM
NOB	ACA,PBC,CVJ,BRM,MEX,APF,MIA,MPB,TAM,STI,HEX,VLN,SDQ,MLM,TPA,CCS,MLB,TRU,AGU,GDL
NOC	BCN,PRG,LIS,POZ,LNZ,VLC,BMA,ARN,STO,WRO,SVQ,RET,VIE,PUY,KTW,POR,WAW,ZAG,FCO,CIA
TJQ	PNH,ENE,ZAM,BKK,DVO,CEB,VTE,MNL,WNP,NNT,RGN,HAK,HPH,HAN,ZHA,BHY,ZUH,NNG,HKG,SZX
HLN	TIJ,ELP,OKC,PSG,MKE,HMO,ORD,MDW,CHI,CGX,GYY,CUU,AUS,IND,SAT,MEM,MKL,DTW,SDF,IAH
